设备名称,品牌,型号,处理器,内存,存储,屏幕尺寸,电池容量,重量,价格,适用人群,特色功能,使用场景,分类标签
iPad Air,M4,苹果,iPad Air M4,M4,8GB,128GB,11英寸,全天续航,462g,4799,学生/创作者,Apple Pencil Pro支持,学习/创作/办公,平板电脑
iPad Pro,M4,苹果,iPad Pro M4,M4,8GB,256GB,11英寸,全天续航,444g,8999,专业创作者,OLED屏幕,创作/设计/办公,旗舰平板
iPad 10代,苹果,iPad 10代,A14,4GB,64GB,10.9英寸,全天续航,477g,2999,学生群体,性价比,学习/日常,入门平板
iPad mini 6,苹果,iPad mini 6,A15,4GB,64GB,8.3英寸,全天续航,293g,3799,便携用户,小屏便携,阅读/游戏/便携,小屏平板
华为MatePad Pro 13.2,华为,华为MatePad Pro 13.2,麒麟9000S,12GB,256GB,13.2英寸,10100mAh,580g,5699,商务人士,大屏办公,商务/创作/办公,大屏平板
华为MatePad 11,华为,华为MatePad 11,骁龙865,6GB,128GB,10.95英寸,7250mAh,485g,2499,学生群体,2.5K屏幕,学习/娱乐,中端平板
小米平板6 Pro,小米,小米平板6 Pro,骁龙8+ Gen1,8GB,256GB,11英寸,8600mAh,490g,2499,性价比用户,144Hz高刷,学习/游戏/娱乐,性价比平板
小米平板6,小米,小米平板6,骁龙870,6GB,128GB,11英寸,8840mAh,490g,1999,学生群体,高性价比,学习/日常,入门平板
荣耀平板V8 Pro,荣耀,荣耀平板V8 Pro,天玑8100,8GB,128GB,12.1英寸,8300mAh,505g,2299,办公用户,120Hz屏幕,办公/学习,中端平板
联想小新Pad Pro 12.7,联想,联想小新Pad Pro 12.7,骁龙870,8GB,256GB,12.7英寸,10200mAh,550g,1999,影音用户,大屏影音,娱乐/学习,大屏平板
OPPO Pad 2,OPPO,OPPO Pad 2,天玑9000,8GB,128GB,11.61英寸,9510mAh,550g,2499,游戏玩家,7:5比例屏幕,游戏/学习,中端平板
vivo Pad3 Pro,vivo,vivo Pad3 Pro,天玑9300,12GB,256GB,13英寸,11500mAh,595g,2999,性能用户,旗舰性能,游戏/创作,旗舰平板
