设备名称,品牌,型号,处理器,内存,存储,屏幕尺寸,电池容量,摄像头,重量,价格,适用人群,特色功能,使用场景,分类标签
小米14,小米,小米14,骁龙8 Gen3,12GB,256GB,6.36英寸,4610mAh,5000万像素主摄,193g,3999,高性能用户,徕卡影像系统,日常使用/拍照,旗舰手机
小米14 Pro,小米,小米14 Pro,骁龙8 Gen3,16GB,512GB,6.73英寸,4880mAh,5000万像素三摄,223g,4999,摄影爱好者,徕卡专业影像,拍照/创作,旗舰手机
Redmi K70,小米,Redmi K70,骁龙8 Gen2,12GB,256GB,6.67英寸,5000mAh,5000万像素,209g,2499,性价比用户,2K屏幕,游戏/日常,性价比手机
Redmi Note 13 Pro,小米,Redmi Note 13 Pro,骁龙7s Gen2,8GB,256GB,6.67英寸,5100mAh,2亿像素,187g,1399,学生群体,2亿像素,学习/日常,中端手机
iPhone 15,苹果,iPhone 15,A16仿生,6GB,128GB,6.1英寸,3349mAh,4800万像素,171g,5999,苹果生态用户,灵动岛设计,日常/商务,旗舰手机
iPhone 15 Pro,苹果,iPhone 15 Pro,A17 Pro,8GB,256GB,6.1英寸,3274mAh,4800万像素三摄,187g,7999,专业用户,钛金属机身,创作/商务,旗舰手机
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max,A17 Pro,8GB,256GB,6.7英寸,4422mAh,4800万像素三摄,221g,9999,高端用户,5倍光学变焦,拍照/创作,旗舰手机
华为Mate 60,华为,华为Mate 60,麒麟9000S,12GB,256GB,6.69英寸,4750mAh,5000万像素,209g,5499,商务人士,卫星通信,商务/日常,旗舰手机
华为Pura 70,华为,华为Pura 70,麒麟9010,12GB,256GB,6.6英寸,4900mAh,5000万像素,207g,5499,摄影爱好者,超聚光影像,拍照/日常,旗舰手机
荣耀Magic6,荣耀,荣耀Magic6,骁龙8 Gen3,12GB,256GB,6.78英寸,5450mAh,5000万像素,199g,3999,续航用户,青海湖电池,日常/游戏,旗舰手机
OPPO Find X7,OPPO,OPPO Find X7,天玑9300,12GB,256GB,6.78英寸,5000mAh,5000万像素,206g,3999,影像用户,哈苏影像,拍照/日常,旗舰手机
vivo X100,vivo,vivo X100,天玑9300,12GB,256GB,6.78英寸,5000mAh,5000万像素,206g,3999,摄影爱好者,蔡司影像,拍照/创作,旗舰手机
一加12,一加,一加12,骁龙8 Gen3,16GB,256GB,6.82英寸,5400mAh,5000万像素,220g,4299,性能用户,2K东方屏,游戏/日常,旗舰手机
realme GT5 Pro,realme,realme GT5 Pro,骁龙8 Gen3,12GB,256GB,6.78英寸,5400mAh,5000万像素,199g,3299,游戏玩家,144Hz屏幕,游戏/日常,性价比手机
